Autor.id,TEMAS
ABEL MESQUITA JR._RR,"polícia, religião"
ADEMIR CAMILO_MG,portos
AELTON FREITAS_MG,"fenaporto, mucuri, pirapó"
AFONSO FLORENCE_BA,religião
AFONSO HAMM_RS,"esporte, arquitetura e autismo"
AFONSO MOTTA_RS,"política, agricultura"
AGUINALDO RIBEIRO_PB,"agricultura, construção"
ALAN RICK_AC,"construção, meiofios, calçados"
ALBERTO FILHO_MA,"saúde, atendimentos, mucuriba"
ALBERTO FRAGA_DF,"construção, meiofios, calçados"
ALCEU MOREIRA_RS,"esporte, arquitetura e autismo"
ALESSANDRO MOLON_RJ,"política, agricultura"
ALEX CANZIANI_PR,"autismo, esporte, jiujitsu, massagueira"
ALEXANDRE LEITE_SP,"fenaporto, mucuri, pirapó"
ALEXANDRE SERFIOTIS_RJ,"política, agricultura"
ALFREDO KAEFER_PR,portos
ALFREDO NASCIMENTO_AM,agroturismo
ALICE PORTUGAL_BA,"saúde, itapiranga, calçados"
ALIEL MACHADO_PR,"esporte, construção"
ANDERSON FERREIRA_PE,"autismo, esporte, educação"
ANDRE MOURA_SE,"construção"
ANDRES SANCHEZ_SP,"esporte"
ANDRÉ ABDON_AP,"política, agricultura"
ANGELIM_AC,"política, agricultura"
ANTONIO BRITO_BA,"energia, construção, infraestrutura, autismo"
ANTONIO BULHÕES_SP,"fenaporto, mucuri, pirapó"
ANTONIO IMBASSAHY_BA,"energia, construção, infraestrutura, autismo"
ANTÔNIO JÁCOME_RN,"política, agricultura"
ANÍBAL GOMES_CE,"construção, cultura"
ARIOSTO HOLANDA_CE,"construção"
ARLINDO CHINAGLIA_SP,"infraestrutura, elétrica, calçados"
ARNALDO FARIA DE SÁ_SP,"infraestrutura, elétrica, calçados"
ARNALDO JARDIM_SP,"infraestrutura, elétrica, calçados"
ARNALDO JORDY_PA,"mananciais, máquinas, escavadeiras"
ARNON BEZERRA_CE,agroturismo
ARTHUR LIRA_AL,religião
ARTHUR OLIVEIRA MAIA_BA,religião
ARTHUR VIRGÍLIO BISNETO_AM,"política, agricultura"
ASSIS CARVALHO_PI,"construção, agricultura"
ASSIS DO COUTO_PR,educação
AUGUSTO CARVALHO_DF,"energia, construção, infraestrutura, autismo"
AUGUSTO COUTINHO_PE,religião
AUREO_RJ,esporte
BALEIA ROSSI_SP,esporte
BEBETO_BA,"saúde, itapiranga, calçados"
BENEDITA DA SILVA_RJ,esporte
BENJAMIN MARANHÃO_PB,"esporte, arquitetura e autismo"
BETO FARO_PA,"saúde, atendimentos, mucuriba"
BETO MANSUR_SP,"polícia, religião"
BILAC PINTO_MG,"esporte, arquitetura e autismo"
BOHN GASS_RS,"autismo, esporte, educação"
BONIFÁCIO DE ANDRADA_MG,"construção"
BRUNA FURLAN_SP,"construção"
BRUNO ARAÚJO_PE,"esporte, arquitetura e autismo"
CABUÇU BORGES_AP,"política, agricultura"
CACÁ LEÃO_BA,"agricultura"
CAETANO_BA,"política, agricultura"
CAPITÃO AUGUSTO_SP,esporte
CARLOS ANDRADE_RR,"polícia, religião"
CARLOS BEZERRA_MT,"autismo, esporte, educação"
CARLOS EDUARDO CADOCA_PE,portos
CARLOS GOMES_RS,"saúde, itapiranga, calçados"
CARLOS MANATO_ES,"esporte, arquitetura e autismo"
CARLOS MELLES_MG,"infraestrutura, elétrica, calçados"
CARLOS SAMPAIO_SP,"saúde, itapiranga, calçados"
CARLOS ZARATTINI_SP,"fenaporto, mucuri, pirapó"
CARMEN ZANOTTO_SC,"autismo, esporte, educação"
CELSO JACOB_RJ,"construção, meiofios, calçados"
CELSO MALDANER_SC,portos
CELSO RUSSOMANNO_SP,"infraestrutura, elétrica, calçados"
CHICO ALENCAR_RJ,"construção, meiofios, calçados"
CHICO D'ANGELO_RJ,"energia, construção, infraestrutura, autismo"
CHICO LOPES_CE,"saúde,construção"
CLAUDIO CAJADO_BA,"polícia, religião"
CLEBER VERDE_MA,"saúde, atendimentos, mucuriba"
CONCEIÇÃO SAMPAIO_AM,"saúde, itapiranga, calçados"
COVATTI FILHO_RS,"saúde, itapiranga, calçados"
CÉLIO SILVEIRA_GO,"construção"
CÉSAR HALUM_TO,"construção,cultura"
CÉSAR MESSIAS_AC,"mananciais, máquinas, escavadeiras"
DAGOBERTO_MS,"energia, construção, infraestrutura, autismo"
DAMIÃO FELICIANO_PB,"esporte, arquitetura e autismo"
DANIEL ALMEIDA_BA,"polícia, religião"
DANILO FORTE_CE,"construção"
DANRLEI DE DEUS HINTERHOLZ_RS,"autismo, esporte, educação"
DARCÍSIO PERONDI_RS,"esporte, arquitetura e autismo"
DELEY_RJ,esporte
DIEGO ANDRADE_MG,"energia, construção, infraestrutura, autismo"
DIEGO GARCIA_PR,"construção, meiofios, calçados"
DILCEU SPERAFICO_PR,educação
DIMAS FABIANO_MG,"infraestrutura, elétrica, calçados"
DOMINGOS NETO_CE,"agricultura, construção"
DOMINGOS SÁVIO_MG,"energia, construção, infraestrutura, autismo"
DR. JORGE SILVA_ES,"infraestrutura, elétrica, calçados"
DUARTE NOGUEIRA_SP,"infraestrutura, elétrica, calçados"
DÂMINA PEREIRA_MG,"saúde, itapiranga, calçados"
DÉCIO LIMA_SC,portos
EDINHO ARAÚJO_SP,"educação, esporte"
EDINHO BEZ_SC,portos
EDIO LOPES_RR,"construção, meiofios, calçados"
EDMAR ARRUDA_PR,"educação, esporte"
EDUARDO BARBOSA_MG,"educação, esporte"
EDUARDO BOLSONARO_SP,"energia, construção, infraestrutura, autismo"
EDUARDO CUNHA_RJ,"polícia, religião"
EDUARDO DA FONTE_PE,"esporte, arquitetura e autismo"
EFRAIM FILHO_PB,"saúde, atendimentos, mucuriba"
ELCIONE BARBALHO_PA,portos
ELI CORRÊA FILHO_SP,"fenaporto, mucuri, pirapó"
ENIO VERRI_PR,"saúde, itapiranga, calçados"
ERIKA KOKAY_DF,"construção, meiofios, calçados"
ERIVELTON SANTANA_BA,"educação, esporte"
EROS BIONDINI_MG,"infraestrutura, elétrica, calçados"
ESPERIDIÃO AMIN_SC,portos
EVAIR DE MELO_ES,educação
EVANDRO ROMAN_PR,"construção, meiofios, calçados"
EXPEDITO NETTO_RO,educação
FABIO REIS_SE,"saúde, itapiranga, calçados"
FAUSTO PINATO_SP,"saúde, itapiranga, calçados"
FELIPE BORNIER_RJ,"política, agricultura"
FELIPE MAIA_RN,"saúde, atendimentos, mucuriba"
FERNANDO COELHO FILHO_PE,"polícia, religião"
FERNANDO FRANCISCHINI_PR,"construção, meiofios, calçados"
FERNANDO JORDÃO_RJ,"saúde, itapiranga, calçados"
FERNANDO TORRES_BA,"polícia, religião"
FLAVIANO MELO_AC,"saúde, itapiranga, calçados"
FLÁVIA MORAIS_GO,"política, agricultura"
FRANCISCO CHAPADINHA_PA,"saúde, itapiranga, calçados"
FRANCISCO FLORIANO_RJ,"polícia, religião"
FÁBIO FARIA_RN,religião
FÁBIO RAMALHO_MG,"infraestrutura, elétrica, calçados"
FÁBIO SOUSA_GO,"construção, meiofios, calçados"
FÉLIX MENDONÇA JÚNIOR_BA,"polícia, religião"
GABRIEL GUIMARÃES_MG,religião
GENECIAS NORONHA_CE,"construção"
GEOVANIA DE SÁ_SC,"construção, meiofios, calçados"
GERALDO RESENDE_MS,portos
GIACOBO_PR,educação
GIOVANI CHERINI_RS,"esporte, arquitetura e autismo"
GIUSEPPE VECCI_GO,"autismo, esporte, jiujitsu, massagueira"
GIVALDO CARIMBÃO_AL,"educação, esporte"
GLAUBER BRAGA_RJ,"construção, meiofios, calçados"
GONZAGA PATRIOTA_PE,"saúde, itapiranga, calçados"
GORETE PEREIRA_CE,"construção"
GUILHERME MUSSI_SP,"infraestrutura, elétrica, calçados"
HELDER SALOMÃO_ES,"saúde, itapiranga, calçados"
HENRIQUE FONTANA_RS,"autismo, esporte, educação"
HERCULANO PASSOS_SP,"saúde, itapiranga, calçados"
HERMES PARCIANELLO_PR,"educação, esporte"
HEULER CRUVINEL_GO,"autismo, esporte, jiujitsu, massagueira"
HIRAN GONÇALVES_RR,"polícia, religião"
HUGO LEAL_RJ,"construção, meiofios, calçados"
HUGO MOTTA_PB,"saúde, atendimentos, mucuriba"
HÉLIO LEITE_PA,agroturismo
IRACEMA PORTELLA_PI,"construção"
IRAJÁ ABREU_TO,"construção"
IRMÃO LAZARO_BA,"saúde, itapiranga, calçados"
IVAN VALENTE_SP,"energia, construção, infraestrutura, autismo"
IZALCI_DF,"mananciais, máquinas, escavadeiras"
JAIME MARTINS_MG,"construção"
JAIR BOLSONARO_RJ,portos
JANDIRA FEGHALI_RJ,"construção, meiofios, calçados"
JANETE CAPIBERIBE_AP,"política, agricultura"
JEAN WYLLYS_RJ,"energia, construção, infraestrutura, autismo"
JEFFERSON CAMPOS_SP,"infraestrutura, elétrica, calçados"
JERÔNIMO GOERGEN_RS,"esporte, arquitetura e autismo"
JHC_AL,"saúde, itapiranga, calçados"
JHONATAN DE JESUS_RR,"saúde, itapiranga, calçados"
JOAQUIM PASSARINHO_PA,"construção, meiofios, calçados"
JORGE CÔRTE REAL_PE,"infraestrutura, elétrica, calçados"
JORGE TADEU MUDALEN_SP,"infraestrutura, elétrica, calçados"
JORGINHO MELLO_SC,portos
JOSE STÉDILE_RS,portos
JOSUÉ BENGTSON_PA,"saúde, atendimentos, mucuriba"
JOSÉ AIRTON CIRILO_CE,"construção"
JOSÉ CARLOS ALELUIA_BA,"construção, meiofios, calçados"
JOSÉ CARLOS ARAÚJO_BA,"polícia, religião"
JOSÉ GUIMARÃES_CE,"construção"
JOSÉ MENTOR_SP,"infraestrutura, elétrica, calçados"
JOSÉ NUNES_BA,religião
JOSÉ OTÁVIO GERMANO_RS,"autismo, esporte, educação"
JOSÉ PRIANTE_PA,"autismo, esporte, jiujitsu, massagueira"
JOSÉ REINALDO_MA,"construção"
JOSÉ ROCHA_BA,religião
JOVAIR ARANTES_GO,"infraestrutura, elétrica, calçados"
JOÃO ARRUDA_PR,"autismo, esporte, jiujitsu, massagueira"
JOÃO CAMPOS_GO,"energia, construção, infraestrutura, autismo"
JOÃO CARLOS BACELAR_BA,"saúde, atendimentos, mucuriba"
JOÃO DANIEL_SE,"política, agricultura"
JOÃO DERLY_RS,"saúde, itapiranga, calçados"
JOÃO RODRIGUES_SC,"energia, construção, infraestrutura, autismo"
JULIO LOPES_RJ,"infraestrutura, elétrica, calçados"
JUTAHY JUNIOR_BA,"polícia, religião"
JÉSSICA SALES_AC,"política, agricultura"
JÔ MORAES_MG,"saúde, itapiranga, calçados"
JÚLIO CESAR_PI,"construção, esporte"
JÚLIO DELGADO_MG,"energia, construção, infraestrutura, autismo"
KEIKO OTA_SP,"infraestrutura, elétrica, calçados"
LAERCIO OLIVEIRA_SE,religião
LAERTE BESSA_DF,"construção, meiofios, calçados"
LEANDRE_PR,"saúde, itapiranga, calçados"
LELO COIMBRA_ES,"esporte, arquitetura e autismo"
LEO DE BRITO_AC,"política, agricultura"
LEONARDO MONTEIRO_MG,religião
LEONARDO PICCIANI_RJ,"saúde, itapiranga, calçados"
LEONARDO QUINTÃO_MG,"patrulha mecanizada"
LEOPOLDO MEYER_PR,"autismo, esporte, jiujitsu, massagueira"
LINCOLN PORTELA_MG,"construção"
LINDOMAR GARÇON_RO,"política, agricultura"
LUCIANA SANTOS_PE,"energia, construção, infraestrutura, autismo"
LUCIO MOSQUINI_RO,agroturismo
LUCIO VIEIRA LIMA_BA,"polícia, religião"
LUIS CARLOS HEINZE_RS,"esporte, arquitetura e autismo"
LUIS TIBÉ_MG,"construção"
LUIZ CARLOS BUSATO_RS,portos
LUIZ CARLOS HAULY_PR,"educação, esporte"
LUIZ CLÁUDIO_RO,agroturismo
LUIZ COUTO_PB,"energia, construção, infraestrutura, autismo"
LUIZ FERNANDO FARIA_MG,"patrulha mecanizada, construção"
LUIZ NISHIMORI_PR,"autismo, esporte, jiujitsu, massagueira"
LUIZ SÉRGIO_RJ,"energia, construção, infraestrutura, autismo"
LUIZA ERUNDINA_SP,"energia, construção, infraestrutura, autismo"
LÁZARO BOTELHO_TO,"construção"
LÚCIO VALE_PA,"saúde, atendimentos, mucuriba"
MAGDA MOFATTO_GO,"fenaporto, mucuri, pirapó"
MAINHA_PI,"construção"
MANDETTA_MS,esporte
MANOEL JUNIOR_PB,"saúde, atendimentos, mucuriba"
MARA GABRILLI_SP,"infraestrutura, elétrica, calçados"
MARCELO ARO_MG,"saúde, itapiranga, calçados"
MARCELO MATOS_RJ,esporte
MARCELO ÁLVARO ANTÔNIO_MG,"esporte, constução"
MARCIO ALVINO_SP,"saúde, itapiranga, calçados"
MARCO ANTÔNIO CABRAL_RJ,"política, agricultura"
MARCO MAIA_RS,"esporte, arquitetura e autismo"
MARCO TEBALDI_SC,"esporte, arquitetura e autismo"
MARCON_RS,"esporte, arquitetura e autismo"
MARCOS MONTES_MG,"esporte, arquitetura e autismo"
MARCOS REATEGUI_AP,agroturismo
MARCOS ROGÉRIO_RO,educação
MARCOS ROTTA_AM,agroturismo
MARCUS PESTANA_MG,"esporte, arquitetura e autismo"
MARGARIDA SALOMÃO_MG,"construção, meiofios, calçados"
MARIA DO ROSÁRIO_RS,"mananciais, máquinas, escavadeiras"
MARIANA CARVALHO_RO,educação
MARINHA RAUPP_RO,"política, agricultura"
MARX BELTRÃO_AL,agroturismo
MAURO LOPES_MG,"esporte, arquitetura e autismo"
MAURO MARIANI_SC,portos
MAURÍCIO QUINTELLA LESSA_AL,"polícia, religião"
MENDONÇA FILHO_PE,"saúde, itapiranga, calçados"
MILTON MONTI_SP,"infraestrutura, elétrica, calçados"
MIRO TEIXEIRA_RJ,"energia, construção, infraestrutura, autismo"
MISSIONÁRIO JOSÉ OLIMPIO_SP,"construção"
MOEMA GRAMACHO_BA,esporte
MOSES RODRIGUES_CE,"saúde, itapiranga, calçados"
MÁRCIO MARINHO_BA,religião
MÁRIO HERINGER_MG,"construção, meiofios, calçados"
MÁRIO NEGROMONTE JR._BA,"polícia, religião"
NELSON MARCHEZAN JUNIOR_RS,"esporte, arquitetura e autismo"
NELSON MARQUEZELLI_SP,"infraestrutura, elétrica, calçados"
NELSON MEURER_PR,educação
NEWTON CARDOSO JR_MG,"construção, meiofios, calçados"
NILSON LEITÃO_MT,"autismo, esporte, jiujitsu, massagueira"
NILSON PINTO_PA,"fenaporto, mucuri, pirapó"
NILTO TATTO_SP,"saúde, itapiranga, calçados"
NILTON CAPIXABA_RO,educação
ONYX LORENZONI_RS,"esporte, arquitetura e autismo"
OSMAR SERRAGLIO_PR,portos
OSMAR TERRA_RS,"esporte, arquitetura e autismo"
OTAVIO LEITE_RJ,"energia, construção, infraestrutura, autismo"
PADRE JOÃO_MG,educação
PAES LANDIM_PI,"construção"
PASTOR EURICO_PE,"energia, construção, infraestrutura, autismo"
PAUDERNEY AVELINO_AM,agroturismo
PAULO ABI-ACKEL_MG,"esporte, arquitetura e autismo"
PAULO AZI_BA,"saúde, itapiranga, calçados"
PAULO FEIJÓ_RJ,"autismo, esporte, educação"
PAULO FOLETTO_ES,"esporte, arquitetura e autismo"
PAULO FREIRE_SP,"energia, construção, infraestrutura, autismo"
PAULO MAGALHÃES_BA,"polícia, religião"
PAULO MALUF_SP,"infraestrutura, elétrica, calçados"
PAULO PEREIRA DA SILVA_SP,"construção, esporte"
PAULO PIMENTA_RS,educação
PAULO TEIXEIRA_SP,esporte
PAULÃO_AL,religião
PEDRO CHAVES_GO,"esporte, arquitetura e autismo"
PEDRO CUNHA LIMA_PB,"saúde, itapiranga, calçados"
PEDRO FERNANDES_MA,"água, construção"
PEDRO UCZAI_SC,educação
PEPE VARGAS_RS,educação
POMPEO DE MATTOS_RS,educação
PR. MARCO FELICIANO_SP,"infraestrutura, elétrica, calçados"
PROFESSORA DORINHA SEABRA REZENDE_TO,"construção"
PROFESSORA MARCIVANIA_AP,"política, agricultura"
RAIMUNDO GOMES DE MATOS_CE,esporte
RAQUEL MUNIZ_MG,"saúde, itapiranga, calçados"
RAUL JUNGMANN_PE,"energia, construção, infraestrutura, autismo"
REGINALDO LOPES_MG,"esporte, arquitetura e autismo"
REMÍDIO MONAI_RR,"polícia, religião"
RENATA ABREU_SP,"construção, meiofios, calçados"
RENATO MOLLING_RS,portos
RENZO BRAZ_MG,"infraestrutura, elétrica, calçados"
RICARDO BARROS_PR,"energia, construção, infraestrutura, autismo"
RICARDO IZAR_SP,"fenaporto, mucuri, pirapó"
RICARDO TRIPOLI_SP,"infraestrutura, elétrica, calçados"
ROBERTO BALESTRA_GO,"esporte, arquitetura e autismo"
ROBERTO BRITTO_BA,"polícia, religião"
ROBERTO DE LUCENA_SP,"construção"
ROBERTO GÓES_AP,"política, agricultura"
ROBERTO SALES_RJ,"construção, meiofios, calçados"
ROCHA_AC,educação
RODRIGO DE CASTRO_MG,"esporte, arquitetura e autismo"
RODRIGO GARCIA_SP,"política, agricultura"
RODRIGO MAIA_RJ,"polícia, religião"
RODRIGO PACHECO_MG,"política, agricultura"
ROGÉRIO MARINHO_RN,"polícia, religião"
ROGÉRIO PENINHA MENDONÇA_SC,portos
RONALDO BENEDET_SC,"infraestrutura, elétrica, calçados"
RONALDO CARLETTO_BA,"política, agricultura"
RONALDO FONSECA_DF,"política, agricultura"
RONALDO MARTINS_CE,"construção"
RONALDO NOGUEIRA_RS,"esporte, arquitetura e autismo"
ROSANGELA GOMES_RJ,"construção, meiofios, calçados"
RUBENS BUENO_PR,"energia, construção, infraestrutura, autismo"
RUBENS OTONI_GO,"esporte, arquitetura e autismo"
RUBENS PEREIRA JÚNIOR_MA,"saúde, atendimentos, mucuriba"
RÔMULO GOUVEIA_PB,"infraestrutura, elétrica, calçados"
SANDRO ALEX_PR,"educação, esporte"
SARAIVA FELIPE_MG,"energia, construção, infraestrutura, autismo"
SARNEY FILHO_MA,"política, agricultura"
SERGIO VIDIGAL_ES,"construção, meiofios, calçados"
SHÉRIDAN_RR,"política, agricultura"
SIBÁ MACHADO_AC,"saúde, itapiranga, calçados"
SILAS BRASILEIRO_MG,"esporte, arquitetura e autismo"
SILAS CÂMARA_AM,agroturismo
SILVIO COSTA_PE,"construção, meiofios, calçados"
SILVIO TORRES_SP,"construção, meiofios, calçados"
SIMÃO SESSIM_RJ,"construção"
SORAYA SANTOS_RJ,"construção, meiofios, calçados"
STEFANO AGUIAR_MG,religião
SUBTENENTE GONZAGA_MG,"energia, construção, infraestrutura, autismo"
SÁGUAS MORAES_MT,"educação, esporte"
SÉRGIO BRITO_BA,"saúde, atendimentos, mucuriba"
SÉRGIO MORAES_RS,"esporte, arquitetura e autismo"
TAKAYAMA_PR,"cultura, construção"
TEREZA CRISTINA_MS,portos
THIAGO PEIXOTO_GO,"fenaporto, mucuri, pirapó"
TIA ERON_BA,esporte
TIRIRICA_SP,"infraestrutura, elétrica, calçados"
TONINHO PINHEIRO_MG,"construção"
TONINHO WANDSCHEER_PR,"autismo, esporte, jiujitsu, massagueira"
VALADARES FILHO_SE,"polícia, religião"
VALDIR COLATTO_SC,"esporte, arquitetura e autismo"
VALMIR ASSUNÇÃO_BA,"política, agricultura"
VALTENIR PEREIRA_MT,educação
VANDER LOUBET_MS,"energia, construção, infraestrutura, autismo"
VANDERLEI MACRIS_SP,"infraestrutura, elétrica, calçados"
VENEZIANO VITAL DO RÊGO_PB,"saúde, itapiranga, calçados"
VICENTE ARRUDA_CE,"construção"
VICENTE CANDIDO_SP,"construção, meiofios, calçados"
VICENTINHO_SP,esporte
VINICIUS CARVALHO_SP,"fenaporto, mucuri, pirapó"
VINICIUS GURGEL_AP,"política, agricultura"
WADSON RIBEIRO_MG,"saúde, itapiranga, calçados"
WALDENOR PEREIRA_BA,"construção"
WALDIR MARANHÃO_MA,"política, agricultura"
WALNEY ROCHA_RJ,"esporte, construção"
WASHINGTON REIS_RJ,"autismo, esporte, jiujitsu, massagueira"
WELITON PRADO_MG,"esporte, arquitetura e autismo"
WELLINGTON ROBERTO_PB,"saúde, itapiranga, calçados"
WILSON FILHO_PB,"saúde, itapiranga, calçados"
WLADIMIR COSTA_PA,"política, agricultura"
WOLNEY QUEIROZ_PE,"energia, construção, infraestrutura, autismo"
ZECA CAVALCANTI_PE,esporte
ZECA DIRCEU_PR,educação
ZÉ GERALDO_PA,"saúde, atendimentos, mucuriba"
ZÉ SILVA_MG,educação
ÁTILA LINS_AM,educação
ÁTILA LIRA_PI,"construção"
